,keywords,number_of_times_word_appeared,tf,idf,tf_idf
38,prevenciónes,1,0.0005485463521667581,0.0,0.0
40,La,1,0.0005485463521667581,0.0,0.0
42,hábitos,1,0.0005485463521667581,0.0,0.0
43,Recomiendo,1,0.0005485463521667581,0.0,0.0
44,provocado,1,0.0005485463521667581,0.0,0.0
48,Por,1,0.0005485463521667581,0.0,0.0
49,Orgullosa,1,0.0005485463521667581,0.0,0.0
39,Prevenir,1,0.0005485463521667581,0.0,0.0
26,Mantener,1,0.0005485463521667581,0.0,0.0
24,Que,1,0.0005485463521667581,0.0,0.0
23,sobre,1,0.0005485463521667581,0.0,0.0
1,más,1,0.0005485463521667581,0.0,0.0
2,causa,1,0.0005485463521667581,0.0,0.0
3,poco,1,0.0005485463521667581,0.0,0.0
6,RECETAS,1,0.0005485463521667581,0.0,0.0
9,comomecuido,1,0.0005485463521667581,0.0,0.0
11,Hs,1,0.0005485463521667581,0.0,0.0
12,sexuales,1,0.0005485463521667581,0.0,0.0
13,patología,1,0.0005485463521667581,0.0,0.0
14,anticoncepción,1,0.0005485463521667581,0.0,0.0
15,infecciones,1,0.0005485463521667581,0.0,0.0
16,consultar,1,0.0005485463521667581,0.0,0.0
17,forma,1,0.0005485463521667581,0.0,0.0
18,aún,1,0.0005485463521667581,0.0,0.0
19,evitar,1,0.0005485463521667581,0.0,0.0
22,desterramos,1,0.0005485463521667581,0.0,0.0
52,síntomas,1,0.0005485463521667581,0.0,0.0
101,tero,1,0.0005485463521667581,0.0,0.0
53,principales,1,0.0005485463521667581,0.0,0.0
56,mujeres,1,0.0005485463521667581,0.0,0.0
82,control,1,0.0005485463521667581,0.0,0.0
83,etapa,1,0.0005485463521667581,0.0,0.0
84,muerte,1,0.0005485463521667581,0.0,0.0
86,elecciones,1,0.0005485463521667581,0.0,0.0
87,anticonceptivos,1,0.0005485463521667581,0.0,0.0
89,estudio,1,0.0005485463521667581,0.0,0.0
81,solicitar,1,0.0005485463521667581,0.0,0.0
90,cada,1,0.0005485463521667581,0.0,0.0
92,profesional,1,0.0005485463521667581,0.0,0.0
93,ATENCIÓN,1,0.0005485463521667581,0.0,0.0
94,Todos,1,0.0005485463521667581,0.0,0.0
96,cambiar,1,0.0005485463521667581,0.0,0.0
98,razones,1,0.0005485463521667581,0.0,0.0
99,entre,1,0.0005485463521667581,0.0,0.0
91,decimos,1,0.0005485463521667581,0.0,0.0
80,familiar,1,0.0005485463521667581,0.0,0.0
78,Estas,1,0.0005485463521667581,0.0,0.0
77,Chau,1,0.0005485463521667581,0.0,0.0
60,realizar,1,0.0005485463521667581,0.0,0.0
61,higiénicos,1,0.0005485463521667581,0.0,0.0
62,Permiten,1,0.0005485463521667581,0.0,0.0
63,tiempos,1,0.0005485463521667581,0.0,0.0
64,debemos,1,0.0005485463521667581,0.0,0.0
67,posts,1,0.0005485463521667581,0.0,0.0
68,transmisión,1,0.0005485463521667581,0.0,0.0
69,detección,1,0.0005485463521667581,0.0,0.0
70,nicamente,1,0.0005485463521667581,0.0,0.0
71,ginecosalud,1,0.0005485463521667581,0.0,0.0
72,VIRTUAL,1,0.0005485463521667581,0.0,0.0
73,contexto,1,0.0005485463521667581,0.0,0.0
74,preocupes,1,0.0005485463521667581,0.0,0.0
75,constituyen,1,0.0005485463521667581,0.0,0.0
76,pueden,1,0.0005485463521667581,0.0,0.0
54,anticoncepcion,1,0.0005485463521667581,0.0,0.0
177,Número,1,0.0005485463521667581,0.0,0.0
